City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
186,College,US,2022-05-14 04:27:31,64.8569,-147.8028,47.07,60,75,8.05
187,Stockholm,SE,2022-05-14 04:31:00,59.3326,18.0649,48.88,91,100,5.75
188,Awjilah,LY,2022-05-14 04:31:00,29.1081,21.2869,64.6,61,0,13.82
189,Akdepe,TM,2022-05-14 04:31:01,42.0551,59.3788,66.29,29,3,8.55
190,Macaubas,BR,2022-05-14 04:31:02,-13.0194,-42.6986,69.71,67,79,6.64
191,Kibala,TD,2022-05-14 04:31:03,9.1104,18.3463,73.35,88,20,6.91
192,Ranong,TH,2022-05-14 04:31:03,9.9658,98.6348,89.53,69,99,5.39
193,Mitsamiouli,KM,2022-05-14 04:31:04,-11.3847,43.2844,79.68,70,1,8.97
194,Tamayo,DO,2022-05-14 04:31:05,18.3947,-71.2029,76.77,83,100,4.59
195,Peniche,PT,2022-05-14 04:31:06,39.3558,-9.3811,65.28,81,100,6.64
196,Rundu,NA,2022-05-14 04:31:07,-17.9333,19.7667,56.14,55,0,2.82
197,Ler,SS,2022-05-14 04:31:07,8.3018,30.1418,81.39,63,64,4.14
198,San Miguel De Cauri,PE,2022-05-14 04:31:09,-10.1,-76.5833,43.65,94,77,2.13
199,Haimen,CN,2022-05-14 04:31:10,23.1935,116.6142,73.29,83,100,21.03
200,Salalah,OM,2022-05-14 04:31:10,17.0151,54.0924,93.29,8,1,27.63
201,Balikpapan,ID,2022-05-14 04:31:11,-1.2675,116.8289,77.99,100,40,0.0
202,Kodiak,US,2022-05-14 04:31:11,57.79,-152.4072,47.71,40,75,17.27
203,Flagstaff,US,2022-05-14 04:31:12,35.1981,-111.6513,58.51,18,0,3.0
204,Pangai,TO,2022-05-14 04:31:13,-19.8,-174.35,77.11,57,40,9.22
205,Bardiyah,LY,2022-05-14 04:31:13,31.7561,25.0865,64.96,67,0,8.97
206,Waddan,LY,2022-05-14 04:31:15,29.1614,16.139,62.58,54,0,2.1
207,Kenai,US,2022-05-14 04:31:15,60.5544,-151.2583,46.45,64,100,20.71
208,Maceio,BR,2022-05-14 04:31:17,-9.6658,-35.7353,76.44,88,75,3.44
209,Fairbanks,US,2022-05-14 04:29:26,64.8378,-147.7164,47.08,60,75,8.05
210,Puerto Cabezas,NI,2022-05-14 04:31:18,14.0351,-83.3888,75.65,91,18,8.95
211,Arraial Do Cabo,BR,2022-05-14 04:31:18,-22.9661,-42.0278,72.14,72,97,5.39
212,Basco,PH,2022-05-14 04:31:19,20.4487,121.9702,84.04,77,97,10.36
213,Fortuna,US,2022-05-14 04:31:20,40.5982,-124.1573,56.93,93,100,1.01
214,Laguna,US,2022-05-14 04:31:20,38.421,-121.4238,73.38,65,0,10.36
215,Yar-Sale,RU,2022-05-14 04:31:21,66.8333,70.8333,40.75,97,84,8.9
216,Rocha,UY,2022-05-14 04:31:22,-34.4833,-54.3333,51.69,82,100,5.06
217,West Wendover,US,2022-05-14 04:29:22,40.7391,-114.0733,65.41,16,0,6.91
218,Bengkulu,ID,2022-05-14 04:31:22,-3.8004,102.2655,85.86,69,31,7.49
219,Nikolskoye,RU,2022-05-14 04:31:23,59.7035,30.7861,48.87,63,13,8.39
220,Jacmel,HT,2022-05-14 04:31:23,18.2342,-72.5347,78.64,89,98,6.73
221,Aguimes,ES,2022-05-14 04:31:24,27.9054,-15.4461,63.23,82,20,4.61
222,Hofn,IS,2022-05-14 04:31:24,64.2539,-15.2082,38.71,74,99,8.19
223,Visby,SE,2022-05-14 04:31:25,57.6409,18.296,49.05,93,99,12.66
224,Adrar,MR,2022-05-14 04:31:26,20.5022,-10.0711,81.01,14,49,10.76
225,Venado Tuerto,AR,2022-05-14 04:31:26,-33.7456,-61.9688,55.76,72,100,4.16
226,Bubaque,GW,2022-05-14 04:31:27,11.2833,-15.8333,77.56,85,49,8.88
227,Dong Hoi,VN,2022-05-14 04:28:05,17.4833,106.6,88.56,68,100,1.63
228,Beyneu,KZ,2022-05-14 04:31:27,45.3167,55.2,65.19,40,40,20.31
229,Northam,GB,2022-05-14 04:31:28,51.0333,-4.2167,50.67,94,95,4.83
230,Evensk,RU,2022-05-14 04:31:29,61.95,159.2333,33.6,100,100,9.08
231,Santa Fe,AR,2022-05-14 04:29:13,-31.6333,-60.7,57.99,89,76,1.99
232,Bilma,NE,2022-05-14 04:31:33,18.6853,12.9164,77.54,22,9,17.25
233,Morozovsk,RU,2022-05-14 04:31:33,48.3539,41.8261,58.53,66,86,5.14
234,Gimli,CA,2022-05-14 04:31:35,50.6336,-96.9907,50.02,71,100,27.63
235,Strezhevoy,RU,2022-05-14 04:31:36,60.7333,77.5889,71.8,25,50,10.22
236,Dingle,PH,2022-05-14 04:31:37,10.9995,122.6711,89.6,59,82,6.51
237,Richards Bay,ZA,2022-05-14 04:31:39,-28.783,32.0377,66.52,89,32,5.41
